"","city","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"1","Cedar Falls","Misc",494165,27993,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"2","Cedar Falls","Whisky",1568696,93104,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"3","Cedar Falls","Rum",809757,57070,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"4","Cedar Falls","Brandy",80056,4982,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"5","Cedar Falls","Amaretto",21811,2194,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"6","Cedar Falls","Vodka",1223595,103382,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"7","Cedar Falls","Gin",135521,10515,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"8","Cedar Falls","Schnapps",301807,20729,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"9","Cedar Falls","Tequila",291477,18308,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"10","Cedar Falls","Distilled Spirits",17062,989,95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198
"11","Gowrie","Misc",6449,446,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"12","Gowrie","Whisky",33407,2208,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"13","Gowrie","Rum",15264,1019,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"14","Gowrie","Gin",1698,134,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"15","Gowrie","Vodka",18536,1961,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"16","Gowrie","Brandy",1773,162,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"17","Gowrie","Tequila",3406,169,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
"18","Gowrie","Amaretto",356,49,91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398
