"","city","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"1","Cedar Falls",95.6,43.4,4.7,22434,40828,37938,939,120,1192,45,158,436,0.549475849906927,92.921524444009,2.29989223082198,4943947,339266,14.5724800009432
"2","Gowrie",91.1,21.6,8.2,30643,1047,977,3,0,6,0,0,61,29.2674307545368,93.3142311365807,0.286532951289398,86254,6546,13.1765963947449
"3","Waterloo",87.5,22,8.3,29201,68357,52104,10744,270,1346,254,1670,1969,0.427183755869918,76.2233567886244,15.7174832131311,9631196,627241,15.3548572239378
"4","West Union",92.5,26,6.2,26134,2592,2413,116,20,37,0,0,6,10.0825617283951,93.0941358024691,4.47530864197531,267066,22291,11.9808891480867
"5","Rockwell",92.5,11.8,3.1,33281,1100,1062,32,0,0,0,0,6,30.2554545454545,96.5454545454545,2.90909090909091,91209,7519,12.1304694773241
"6","Fort Atkinson",87.7,13.3,4.3,32031,259,252,0,0,0,0,0,7,123.671814671815,97.2972972972973,0,87999,7136,12.3316984304933
"7","Waukon",85.1,17.6,5.9,25617,3786,3670,0,0,0,0,20,96,6.7662440570523,96.9360802958267,0,642261,49512,12.9718250121183
"8","Des Moines",87.2,25.2,7.1,28776,212859,164184,23469,993,11722,183,5109,7199,0.135188082251631,77.1327498484913,11.0256085014023,38071367,2390490,15.9261770599333
"9","Keokuk",89.4,15.1,10.3,24935,10628,9333,528,43,82,0,122,520,2.34616108392924,87.8152051185548,4.9680090327437,1981922,135475,14.629429784093
"10","Sac City",92.7,18.9,5.4,26389,2185,2111,6,0,0,0,2,66,12.0773455377574,96.6132723112128,0.274599542334096,305805,25410,12.0348288075561
"11","Clarinda",88.8,23.5,5.2,25348,5431,4978,306,19,29,0,34,65,4.66728042717732,91.6589946602836,5.63432148775548,401558,28210,14.2345976604041
"12","Winterset",91.5,16.3,7.6,31022,5158,4979,1,0,146,0,26,6,6.01434664598682,96.5296626599457,0.019387359441644,576401,43114,13.369230412395
"13","Spirit Lake",95.5,29.2,2.9,31108,4992,4831,14,16,22,0,12,97,6.23157051282051,96.7748397435898,0.280448717948718,2139653,160604,13.3225386665338
"14","Altoona",94.5,31.2,4.7,40522,16692,16026,122,13,189,0,7,335,2.42763000239636,96.0100647016535,0.730889048646058,2212755,152679,14.4928575639086
"15","Perry",77.8,13.3,2.4,25372,7876,6839,171,9,104,0,558,195,3.22143219908583,86.8334179786694,2.17115286947689,528510,42986,12.2949332340762
"16","Iowa City",94.9,59.9,4.4,18553,72385,57006,5108,176,5906,151,2160,1878,0.256310008979761,78.7538854735097,7.05671064447054,9532087,624686,15.2590053242749
"17","Storm Lake",65.6,15.4,5.8,21889,10768,7195,544,0,1638,223,962,206,2.0327823179792,66.8183506686478,5.0520059435364,1595214,113863,14.0099417721297
"18","Corning",88.2,19,3.2,30058,1598,1559,5,0,12,0,3,19,18.8097622027534,97.5594493116395,0.312891113892365,179649,13276,13.5318620066285
"19","Cresco",90.7,15.1,4.3,30165,3839,3730,18,0,0,0,2,89,7.85751497785882,97.1607189372232,0.468872102109924,641780,51336,12.5015583606046
"20","Shenandoah",83.3,22.1,2.2,29452,5030,4694,73,17,141,0,10,95,5.85526838966203,93.3200795228628,1.45129224652087,743835,51850,14.3459016393443
"21","Dubuque",91.4,29.7,5,25838,58535,53089,2380,45,877,338,252,1554,0.441411121551209,90.6961646877936,4.06594345263518,7351791,503703,14.5954878172256
"22","Oakland",92.6,24.1,2.8,35313,1544,1500,1,0,2,0,21,20,22.8711139896373,97.1502590673575,0.0647668393782384,106661,8341,12.7875554489869
"23","Indianola",94.9,28.4,7.5,26250,15343,14670,84,36,91,51,66,345,1.71087792478655,95.6136348823568,0.547480935931695,1475981,107339,13.7506498104137
"24","Guthrie Center",87.5,13.7,3.9,28333,1650,1557,23,0,1,0,17,52,17.1715151515152,94.3636363636364,1.39393939393939,81074,6509,12.4556767552619
"25","Hampton",83.8,18.7,2.8,29104,4326,3785,99,0,0,0,412,30,6.72769301895516,87.4942209893666,2.28848821081831,452687,35560,12.7302305961755
"26","West Bend",93.1,16,1.1,29306,851,813,3,0,1,0,12,22,34.4371327849589,95.5346650998825,0.352526439482961,124798,11062,11.2816850479118
"27","Anamosa",89.7,13.8,8.5,23285,5459,4841,402,124,14,0,38,40,4.26543322952922,88.6792452830189,7.36398607803627,620676,50235,12.355449387877
