"","county","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"1","Black Hawk",90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688,15289449,1019167,15.0019074400957
"2","Webster",90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051,3416914,246343,13.8705544707988
"3","Fayette",89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038,1119298,91469,12.2369108659765
"4","Cerro Gordo",93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867,5482244,415863,13.1828126089602
"5","Winneshiek",94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189,1303940,95201,13.6967048665455
"6","Allamakee",88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495,798742,63015,12.6754264857574
"7","Polk",91.7,35.6,5.2,35121,459159,390415,29390,1277,18813,366,6735,12163,0.0764898433875847,85.0282799640212,6.40083282697279,61059636,3863438,15.8044819148127
"8","Lee",91.8,14.6,7.9,27804,35172,32906,907,48,133,0,185,993,0.790515182531559,93.5573751848061,2.57875582849994,3276570,226823,14.445492741036
"9","Sac",91.7,19.3,3.9,30292,10034,9800,60,0,0,4,52,118,3.01893561889575,97.6679290412597,0.597966912497508,528490,42755,12.3608934627529
"10","Page",88.4,21.9,4.3,29172,15552,14668,379,55,180,0,44,226,1.87577160493827,94.3158436213992,2.43698559670782,1145396,80061,14.3065412622875
"11","Madison",94.4,22.5,4.8,36293,15661,15267,86,5,172,18,29,84,2.31741268118256,97.484196411468,0.549134793435924,650829,48639,13.3808055264294
"12","Dickinson",95.6,29,3.4,31194,17046,16622,62,42,51,16,57,196,1.82998944033791,97.5126129297196,0.363721694239118,3764208,275873,13.6447133282344
"13","Dallas",95.5,47.4,2.2,43120,78074,71336,912,38,2984,79,884,1841,0.552296539180777,91.3697261572354,1.1681225504009,2183590,151238,14.4381041801664
"14","Johnson",94.7,52.4,3.2,28190,142006,118240,8666,199,8737,151,2996,3017,0.198512738898356,83.2640874329254,6.10255904680084,16251212,1019276,15.9438778113092
"15","Buena Vista",78.2,18.7,4.5,26127,20445,16319,601,4,1724,224,1260,313,1.27791636096845,79.8190266568843,2.93959403277085,1689710,121615,13.8939275582782
"16","Adams",92.5,16.7,3.1,29880,3822,3720,19,4,33,0,3,43,7.81789638932496,97.331240188383,0.497121925693354,179649,13276,13.5318620066285
"17","Howard",88.9,13.2,3.7,29845,9430,9271,31,0,24,0,13,91,3.16489925768823,98.3138918345705,0.328738069989396,747407,59960,12.4650933955971
"18","Dubuque",92.3,29.2,4,30044,96359,89975,2571,48,1230,338,290,1907,0.311792359821086,93.374775578825,2.6681472410465,8095940,564610,14.338995058536
"19","Pottawattamie",90,20.7,4.9,31657,93198,87907,1352,304,636,5,1240,1754,0.339674671130282,94.322839545913,1.45067490718685,9366065,624752,14.9916526877865
"20","Warren",95.6,28.8,5.2,36543,48170,46619,193,113,230,51,200,764,0.758625700643554,96.7801536225867,0.400664313888312,2072032,153078,13.5357922105071
"21","Guthrie",92.1,20.5,3.3,31155,10691,10418,26,31,7,0,68,141,2.91413338321953,97.4464502852867,0.243195210925077,450151,34820,12.9279437105112
"22","Franklin",88.6,16.7,5.4,30289,10393,9591,139,8,24,0,510,121,2.91436543827576,92.2832675839507,1.33743866063697,485078,38317,12.6596027872746
"23","Palo Alto",93.6,22.1,2,29352,9155,8833,166,12,46,0,16,82,3.20611687602403,96.4827962861824,1.81321682140907,734665,59267,12.3958526667454
"24","Jones",92.1,16.7,4.5,31388,20481,19578,431,124,104,0,49,195,1.53254235633026,95.5910355939651,2.10438943410966,1085257,89753,12.091595824095
"25","Story",96.3,50.3,5.2,18959,94834,83040,2136,211,6523,29,320,2575,0.199917751017568,87.5635320665584,2.25235674968893,8105026,564589,14.3556215229131
"26","Boone",94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318,1.20726212562947,96.9974631782212,1.2267615766158,1372573,103896,13.2110283360283
"27","Des Moines",92.2,19.6,5.7,26580,40114,36446,2239,68,179,0,92,1090,0.662611557062372,90.8560602283492,5.58159246148477,3411903,230557,14.7985227080505
"28","Linn",94.6,32.2,4.2,34878,218076,195251,10174,416,4667,60,1637,5871,0.159935068508227,89.5334653973844,4.66534602615602,23211745,1610480,14.4129358948885
"29","Jasper",92.4,17.9,4.9,30841,36715,35174,550,71,191,41,74,614,0.840010894729674,95.8028053928912,1.49802533024649,1729328,131904,13.1105046094129
"30","Montgomery",89.1,15.5,8.4,26750,10380,9913,0,24,0,0,167,276,2.57707129094412,95.5009633911368,0,589926,43885,13.4425430101401
"31","Appanoose",89.9,18.1,6.6,27485,12602,12289,61,6,62,0,2,182,2.18100301539438,97.5162672591652,0.484050150769719,765877,56082,13.6563781605506
