"","county","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"1","Black Hawk","Misc",1310459,75360,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"2","Black Hawk","Whisky",4490927,275531,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"3","Black Hawk","Rum",1953607,137217,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"4","Black Hawk","Brandy",1308312,62581,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"5","Black Hawk","Amaretto",58143,5916,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"6","Black Hawk","Vodka",3669281,296296,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"7","Black Hawk","Gin",579620,44616,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"8","Black Hawk","Schnapps",754695,51979,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"9","Black Hawk","Tequila",1040044,56138,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"10","Black Hawk","Distilled Spirits",124361,13533,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827,0.210651930041183,85.088201413933,8.86757365175688
"11","Webster","Misc",323715,19383,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"12","Webster","Whisky",1142636,76594,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"13","Webster","Rum",524140,36895,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"14","Webster","Gin",79048,6402,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"15","Webster","Vodka",797751,72564,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"16","Webster","Brandy",157302,8678,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"17","Webster","Tequila",204349,12497,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"18","Webster","Amaretto",16008,1649,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"19","Webster","Schnapps",156437,10873,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"20","Webster","Distilled Spirits",15528,808,90.6,20.6,6.6,25615,37050,33912,1672,140,433,3,380,510,0.69136302294197,91.5303643724696,4.51282051282051
"21","Fayette","Whisky",473437,35844,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"22","Fayette","Gin",14969,1482,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"23","Fayette","Vodka",217891,23777,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"24","Fayette","Misc",80715,5071,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"25","Fayette","Rum",163182,12221,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"26","Fayette","Brandy",25727,1950,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"27","Fayette","Tequila",50356,3391,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"28","Fayette","Amaretto",4719,595,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"29","Fayette","Schnapps",84803,6972,89.8,19.6,4.3,26288,20391,19497,270,109,154,0,66,295,1.28919621401599,95.615712814477,1.32411357952038
"30","Cerro Gordo","Misc",488281,31649,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"31","Cerro Gordo","Tequila",387144,26184,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"32","Cerro Gordo","Rum",759626,55669,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"33","Cerro Gordo","Whisky",1904800,131745,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"34","Cerro Gordo","Distilled Spirits",22001,1140,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"35","Cerro Gordo","Gin",127047,9328,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"36","Cerro Gordo","Vodka",1373412,129311,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"37","Cerro Gordo","Brandy",158610,10723,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"38","Cerro Gordo","Schnapps",237926,17719,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"39","Cerro Gordo","Amaretto",23397,2395,93.3,21.9,4.1,28930,43303,41093,682,118,488,0,229,693,0.668083042745306,94.8964274992495,1.57494861787867
"40","Winneshiek","Whisky",430894,28228,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"41","Winneshiek","Gin",48167,3395,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"42","Winneshiek","Vodka",302431,28006,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"43","Winneshiek","Misc",123091,6948,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"44","Winneshiek","Rum",197902,13310,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"45","Winneshiek","Brandy",48442,4024,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"46","Winneshiek","Amaretto",6755,629,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"47","Winneshiek","Tequila",63072,4225,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"48","Winneshiek","Schnapps",79322,6261,94.4,27.6,2.5,26460,20789,20124,178,41,244,0,72,130,1.27278849391505,96.8011929385733,0.856222040502189
"49","Allamakee","Brandy",40302,3649,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"50","Allamakee","Rum",123946,8436,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"51","Allamakee","Tequila",22729,1451,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
"52","Allamakee","Misc",69287,4301,88.1,17,4.7,28718,14001,13497,118,32,61,2,64,227,2.05113920434255,96.4002571244911,0.842796943075495
