"","zipcode","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black","total.sale","total.volume","price"
"1","50613",95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188,4943947,339266,14.5724800009432
"2","50543",91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428,86254,6546,13.1765963947449
"3","50703",80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875,3339278,191717,17.4177459484553
"4","52175",91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068,267066,22291,11.9808891480867
"5","50469",95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102,91209,7519,12.1304694773241
"6","52144",94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0,87999,7136,12.3316984304933
"7","52172",87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0,642261,49512,12.9718250121183
"8","50314",78.7,18.8,12.8,21547,12102,6087,3434,55,1149,0,792,585,1.78044951247728,50.2974714923153,28.375475128078,9584716,537047,17.8470711129566
"9","52632",89.7,16.5,9.8,24715,13184,11831,547,43,89,0,122,552,1.87462075242718,89.7375606796116,4.14896844660194,1981922,135475,14.629429784093
"10","50583",92.6,17.9,4.7,30703,2878,2804,6,0,0,0,2,66,10.6681723419041,97.4287699791522,0.208478109798471,305805,25410,12.0348288075561
"11","51632",89.9,23.4,4.9,28054,7168,6679,306,19,39,0,34,91,3.91378348214286,93.1780133928571,4.26897321428571,401558,28210,14.2345976604041
"12","50273",93.6,23.4,6,35779,8342,8141,1,0,146,0,26,28,4.2890194198034,97.5905058738911,0.0119875329657157,576401,43114,13.369230412395
