"","zipcode","category","sale.dollars","sale.volume","high.school","bachelor","unemployment","income","population","pop.white","pop.black","pop.indian","pop.asian","pop.hawai","pop.other","pop.multi","income_per_capita","prop_white","prop_black"
"1","50613","Misc",494165,27993,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"2","50613","Whisky",1568696,93104,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"3","50613","Rum",809757,57070,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"4","50613","Brandy",80056,4982,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"5","50613","Amaretto",21811,2194,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"6","50613","Vodka",1223595,103382,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"7","50613","Gin",135521,10515,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"8","50613","Schnapps",301807,20729,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"9","50613","Tequila",291477,18308,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"10","50613","Distilled Spirits",17062,989,95.6,42.5,4.6,23487,43930,40956,948,120,1218,45,168,475,0.534646027771455,93.2301388572729,2.15797860232188
"11","50543","Misc",6449,446,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"12","50543","Whisky",33407,2208,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"13","50543","Rum",15264,1019,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"14","50543","Gin",1698,134,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"15","50543","Vodka",18536,1961,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"16","50543","Brandy",1773,162,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"17","50543","Tequila",3406,169,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"18","50543","Amaretto",356,49,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"19","50543","Schnapps",5139,386,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"20","50543","Distilled Spirits",226,12,91.3,25.1,5.7,35665,1458,1376,3,12,6,0,0,61,24.4615912208505,94.3758573388203,0.205761316872428
"21","50703","Misc",174277,9316,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"22","50703","Whisky",744737,43978,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"23","50703","Brandy",712442,31844,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"24","50703","Rum",254306,16965,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"25","50703","Tequila",271832,10835,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"26","50703","Gin",218302,16558,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"27","50703","Vodka",820483,52511,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"28","50703","Amaretto",8009,837,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"29","50703","Schnapps",129439,8590,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"30","50703","Distilled Spirits",5451,283,80.3,12.2,13.6,23921,19200,11360,6321,33,110,129,713,534,1.24588541666667,59.1666666666667,32.921875
"31","52175","Whisky",104745,7999,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"32","52175","Gin",3712,338,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"33","52175","Vodka",58023,6433,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"34","52175","Misc",17764,1160,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"35","52175","Rum",42386,3215,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"36","52175","Brandy",5190,436,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"37","52175","Tequila",10917,712,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"38","52175","Amaretto",1713,229,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"39","52175","Schnapps",22281,1755,91,24.6,4.4,26970,3582,3373,116,20,37,0,0,36,7.52931323283082,94.1652707984366,3.23841429369068
"40","50469","Misc",5342,286,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"41","50469","Tequila",1199,73,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"42","50469","Rum",17589,1092,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"43","50469","Whisky",41925,3472,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"44","50469","Distilled Spirits",5,0,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"45","50469","Gin",604,45,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"46","50469","Vodka",17131,1935,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"47","50469","Brandy",2098,199,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"48","50469","Schnapps",5008,371,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"49","50469","Amaretto",308,46,95,13.6,2.1,37007,1612,1574,32,0,0,0,0,6,22.9571960297767,97.6426799007444,1.98511166253102
"50","52144","Whisky",33047,2459,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"51","52144","Gin",1132,143,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"52","52144","Vodka",12680,1467,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"53","52144","Misc",5239,302,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"54","52144","Rum",17239,1125,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"55","52144","Brandy",4799,440,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"56","52144","Amaretto",670,80,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"57","52144","Tequila",2271,128,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"58","52144","Schnapps",10895,991,94.2,17.5,1.7,32530,1508,1501,0,0,0,0,0,7,21.5716180371353,99.5358090185676,0
"59","52172","Brandy",31885,2940,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0
"60","52172","Rum",100191,6562,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0
"61","52172","Tequila",17798,1118,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0
"62","52172","Misc",57855,3485,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0
"63","52172","Whisky",230471,17016,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0
"64","52172","Gin",8527,676,87.2,18.5,5.3,26298,5774,5634,0,2,22,0,20,96,4.55455490128161,97.5753377208175,0
